question_id,difficulty,source_document_expected,hit_document@6,rank_first_correct,mrr,phrase_recall_in_chunks,retrieve_total_ms,index_mode,chunk_sources,error
Q070,medium,CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf,true,3,0.3333,100.0,377.053,embedding,ManualGestacaoAltoRisco_2022.pdf;ManualTecnico_PrenatalPuerperio.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf;ManualGestacaoAltoRisco_2022.pdf;GuiaReferenciaRapida_AtencaoAoPreNatalParaGestantesDeBaixoRisco_ProfissionaisSaude_2013.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf,
Q071,hard,CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf,true,1,1.0,0.0,365.379,embedding,CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf;ManualGestacaoAltoRisco_2022.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf;ManualTecnico_PrenatalPuerperio.pdf;ManualGestacaoAltoRisco_2022.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf,
Q072,easy,CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf,false,0,0.0,0.0,369.937,embedding,ManualTecnico_PrenatalPuerperio.pdf;ManualTecnico_PrenatalPuerperio.pdf;CadernoDeAtencaoAoPreNatal_RiscoHabitual_.pdf;ManualGestacaoAltoRisco_2022.pdf;ManualTecnico_PrenatalPuerperio.pdf;ManualTecnico_PrenatalPuerperio.pdf,
Q073,easy,CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf,true,6,0.1667,0.0,367.239,embedding,CadernoDeAtencaoAoPreNatal_RiscoHabitual_.pdf;CadernoDeAtencaoAoPreNatal_RiscoHabitual_.pdf;GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf;ManualGestacaoAltoRisco_2022.pdf;CadernoDeAtencaoAoPreNatal_RiscoHabitual_.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf,
Q074,easy,GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf,true,4,0.25,0.0,364.996,embedding,GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;GuiaDeAtencaoSaudeDaGestante_CriteriosParaEstratificacaoDeRiscoAcompanhamentoDaGestante_2024.pdf,
Q075,medium,GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf,true,4,0.25,100.0,370.748,embedding,GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;GuiaDeAtencaoSaudeDaGestante_CriteriosParaEstratificacaoDeRiscoAcompanhamentoDaGestante_2024.pdf;ManualGestacaoAltoRisco_2022.pdf;GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf;ManualTecnico_PrenatalPuerperio.pdf;GuiaReferenciaRapida_AtencaoAoPreNatalParaGestantesDeBaixoRisco_ProfissionaisSaude_2013.pdf,
Q076,medium,GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf,false,0,0.0,0.0,371.228,embedding,GuiaDeAtencaoSaudeDaGestante_CriteriosParaEstratificacaoDeRiscoAcompanhamentoDaGestante_2024.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;GuiaReferenciaRapida_AtencaoAoPreNatalParaGestantesDeBaixoRisco_ProfissionaisSaude_2013.pdf;ManualGestacaoAltoRisco_2022.pdf,
Q077,easy,GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf,true,1,1.0,100.0,369.696,embedding,GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf;GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf;GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf;GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf;ManualGestacaoAltoRisco_2022.pdf,
Q078,easy,GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf,true,4,0.25,0.0,367.178,embedding,GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;ManualTecnico_PrenatalPuerperio.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;ManualGestacaoAltoRisco_2022.pdf,
Q079,hard,GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf,true,3,0.3333,,366.37,embedding,GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;GuiaReferenciaRapida_AtencaoAoPreNatalParaGestantesDeBaixoRisco_ProfissionaisSaude_2013.pdf;GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf;ManualGestacaoAltoRisco_2022.pdf;GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf;GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf,
